Title	publication_date	Blog_author	Keywords
A Simple Guide to Writing the Perfect Knowledge Base Article	2022-04-09 00:00:00	Emil Hajric	simple, guide, writing
7 ways customer service helps you with flawless customer onboarding	2022-12-12 00:00:00	Emil Hajric	7, ways, customer
Quick Tips on How to Improve Your Knowledge Base	2022-04-09 00:00:00	Emil Hajric	quick, tips, improve
How to Plan Your External Knowledge Base Content	2022-12-12 00:00:00	Emil Hajric	plan, external, knowledge
Engaging Your Employees To Contribute To Your Knowledge Base	2022-04-09 00:00:00	Emil Hajric	engaging, employees, contribute
A Guide to Using Emojis In Customer Support	2020-07-30 00:00:00	Emil Hajric	guide, using, emojis
Why Customers STOP Using Your Knowledge Base!	2022-04-09 00:00:00	Emil Hajric	customers, stop, using
3 External API's To Super-Power Your Knowledge Base!	2020-07-13 00:00:00	Emil Hajric	3, external, api's
Customer Service Tips From Top 4 Industry Experts	2022-04-09 00:00:00	Emil Hajric	customer, service, tips
4 Bulletproof UX-Hacks To Skyrocket Your Knowledge Base	2022-04-09 00:00:00	Emil Hajric	4, bulletproof, ux-hacks
Top 5 Ways to Ask For Customer Feedback	2020-08-05 00:00:00	Emil Hajric	top, 5, ways
10 Customer Appreciation Ideas Your Customers Will Absolutely Love	2020-08-12 00:00:00	Emil Hajric	10, customer, appreciation
Top 5 Ways to Provide Excellent Customer Service	2022-04-09 00:00:00	Emil Hajric	top, 5, ways
UX vs CX: A Practical Explanation Using a Real-Life Scenario	2020-07-28 00:00:00	Emil Hajric	ux, vs, cx:
Optimize Efficiency: The Knowledge Management Process	2023-04-27 00:00:00	Emil Hajric	optimize, efficiency:, knowledge
4 Mind-Blowing Metrics On Short vs Lengthy Knowledge Base Articles	2022-04-09 00:00:00	Emil Hajric	4, mind-blowing, metrics
World Class Customer Service: 4 Things Today’s Companies Get Right	2020-08-19 00:00:00	Emil Hajric	world, class, customer
10 Mind-blowing Customer Service Statistics	2020-07-30 00:00:00	Emil Hajric	10, mind-blowing, customer
Customer Service Infographic: Best And Worst Industries	2023-03-25 00:00:00	Emil Hajric	customer, service, infographic:
5 Bad Customer Service Habits You Need to Kill Right Away	2020-08-12 00:00:00	Emil Hajric	5, bad, customer
5 Ways To Deliver Great Customer Service	2020-07-13 00:00:00	Emil Hajric	5, ways, deliver
How to Improve Customer Service With Technology	2022-04-09 00:00:00	Emil Hajric	improve, customer, service
Top 5 Principles to Deliver Great Customer Service	2023-03-17 00:00:00	Josh Brown	top, 5, principles
Quora Marketing Strategy for B2B Startups	2022-04-09 00:00:00	Emil Hajric	quora, marketing, strategy
EGO Trap: The Number One Reason Most Startups Fail	2020-08-10 00:00:00	Emil Hajric	ego, trap:, number
How to Leverage Social Media To Improve Customer Experience	2020-08-20 00:00:00	Emil Hajric	leverage, social, media
